draft_round,draft_pick,team,player_name,Pos,age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,rec_yards,rec_td,Int,Att.1,Yds.1,TD.1,rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,rookie_year,Unnamed: 0,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,routes_run,targeted_qb_rating,targets,yac,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,"1,000 Yard Seasons",contested_catch_pct,drop_rate,grades_hands_drop,player_name_rec,player_id,position,team_rec,player_game_count,avg_depth_of_target_rec,avoided_tackles_rec,caught_percent_rec,contested_catch_pct_rec,contested_receptions,contested_targets,declined_penalties,drop_rate_rec,drops,first_downs,franchise_id,fumbles,grades_hands_drop_rec,grades_hands_fumble,grades_offense_rec,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest_rec,pass_block_rate,pass_blocks,pass_plays,penalties,rec_rec,route_rate,routes_run_rec,slot_rate,slot_snaps,targeted_qb_rating_rec,targets_rec,rec_td_rec,wide_rate,wide_snaps,rec_yards_rec,yac_rec,yards_after_catch_per_reception_rec,yards_per_reception_rec,yprr_rec,season,has_1000_yard_season,thousand_yard_seasons,catch_rate,yards_per_route_run
1.0,25.0,PIT,Santonio Holmes,WR,22.0,2014.0,0.0,0.0,6.0,47.0,35.0,112.0,0.0,1.0,0.0,0.0,1.0,16.0,89.0,0.0,389.0,6030.0,36.0,,,,Ohio St.,College Stats,HolmSa00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0
2.0,36.0,NWE,Chad Jackson,WR,21.0,2008.0,0.0,0.0,0.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,14.0,171.0,3.0,,,,Florida,College Stats,JackCh00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2.0,44.0,NYG,Sinorice Moss,WR,22.0,2009.0,0.0,0.0,0.0,4.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,39.0,421.0,3.0,2.0,,,Miami (FL),College Stats,MossSi00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2.0,52.0,GNB,Greg Jennings,WR,22.0,2015.0,0.0,2.0,8.0,66.0,55.0,143.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,571.0,8291.0,64.0,,,,Western Michigan,College Stats,JennGr00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,0.0
3.0,78.0,CLE,Travis Wilson,WR,22.0,2006.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,,,,Oklahoma,College Stats,WilsTr00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
3.0,82.0,MIA,Derek Hagan,WR,21.0,2014.0,0.0,0.0,0.0,12.0,5.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,1734.0,7.0,19.0,,,Arizona St.,College Stats,HagaDe00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
3.0,84.0,SFO,Brandon Williams,WR,22.0,2007.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Wisconsin,College Stats,WillBr01,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
3.0,90.0,TAM,Maurice Stovall,WR,21.0,2012.0,0.0,0.0,0.0,5.0,5.0,81.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,52.0,668.0,3.0,37.0,,,Notre Dame,College Stats,StovMa00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
3.0,95.0,PIT,Willie Reid,WR,23.0,2007.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,54.0,0.0,,,,Florida St.,College Stats,ReidWi00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
4.0,100.0,SFO,Michael Robinson,WR,23.0,2013.0,0.0,1.0,1.0,7.0,4.0,112.0,1.0,2.0,28.0,0.0,0.0,115.0,422.0,2.0,75.0,610.0,3.0,55.0,,,Penn St.,College Stats,RobiMi00,2006.0,,,,,,,,0.0,,0.0,0.0,,0.37333333333333335,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
