feature,importance_builtin,rank_builtin,importance_permutation,importance_permutation_std,rank_permutation
rec,0.17514649,2.0,0.2065727699530516,0.009996068496194884,1.0
recent_era,0.017704545,12.0,0.0046948356807511304,0.0009897582660934037,2.5
wr_draft_rank,0.017181467,13.0,0.0046948356807511304,0.0,2.5
target_percentile,0.011751385,16.0,0.004381846635367737,0.0026924335734092755,4.0
age,0.010420118,17.0,0.0021909233176838462,0.0012519561815336143,6.0
yards_percentile,0.007707548,22.0,0.0021909233176838462,0.0012519561815336143,6.0
rec_yards_zscore,0.013491986,15.0,0.0021909233176838462,0.0018779342723004447,6.0
td_per_reception,0.02016591,11.0,0.0018779342723004744,0.0006259780907667878,8.0
draft_round,0.00852922,21.0,0.001877934272300452,0.0020761344540565748,9.0
modern_era_x_yards,0.020950854,9.0,0.0015649452269170805,0.0,10.0
day_1_pick,0.008678362,20.0,0.0012519561815336644,0.0006259780907668321,12.0
first_round,0.00948642,18.0,0.0012519561815336644,0.0006259780907668321,12.0
draft_pick,0.03359309,6.0,0.0012519561815336644,0.0006259780907668321,12.0
early_round,0.03670722,5.0,0.000938967136150226,0.0012519561815336254,14.0
rec_50_plus,0.31037542,1.0,0.0003129890453834161,0.0006259780907668321,15.0
yards_per_target,0.0,39.0,0.0,0.0,29.5
yards_per_reception,0.0,39.0,0.0,0.0,29.5
targets,0.01408879,14.0,0.0,0.0,29.5
catch_rate,0.0018675798,32.0,0.0,0.0,29.5
rec_td,0.0024273251,30.0,0.0,0.0,29.5
rec_yards,0.020661453,10.0,0.0,0.0,29.5
target_rate,0.0,39.0,0.0,0.0,29.5
yards_per_route_run,0.005115982,24.0,0.0,0.0,29.5
top_5_wr,0.0020602224,31.0,0.0,0.0,29.5
young_rookie,0.0034858794,27.0,0.0,0.0,29.5
high_target_rookie,0.0,39.0,0.0,0.0,29.5
top_3_wr,0.0033787056,28.0,0.0,0.0,29.5
draft_capital_score,0.0045920336,25.0,0.0,0.0,29.5
yac_per_reception,0.09118006,3.0,0.0,0.0,29.5
volume_x_efficiency,0.0,39.0,0.0,0.0,29.5
yards_500_plus,0.03019373,7.0,0.0,0.0,29.5
old_rookie,0.0,39.0,0.0,0.0,29.5
targets_80_plus,0.026908744,8.0,0.0,0.0,29.5
ypr_12_plus,0.0,39.0,0.0,0.0,29.5
draft_x_yards,0.0,39.0,0.0,0.0,29.5
td_3_plus,0.0,39.0,0.0,0.0,29.5
catch_rate_65_plus,0.0,39.0,0.0,0.0,29.5
targets_log,0.0,39.0,0.0,0.0,29.5
early_round_x_targets,0.007532392,23.0,0.0,0.0,29.5
breakout_score,0.009248767,19.0,0.0,0.0,29.5
efficiency_score,0.0033434888,29.0,0.0,0.0,29.5
rec_yards_sqrt,0.0,39.0,0.0,0.0,29.5
rec_yards_log,0.0,39.0,0.0,0.0,29.5
modern_era,0.004002017,26.0,-0.0003129890453834161,0.0006259780907668322,44.0
rookie_production_score,0.068022795,4.0,-0.0031298904538341167,0.002213166764277129,45.0
