feature,importance_builtin,rank_builtin,importance_permutation,importance_permutation_std,rank_permutation
rec,0.13825548,2.0,0.19655712050078253,0.01122405075245139,1.0
recent_era,0.014024022,12.0,0.007198748043818526,0.0012519561815336143,2.0
target_percentile,0.009544101,19.0,0.0028169014084507447,0.003623110141718366,3.0
yards_percentile,0.011175436,17.0,0.0009389671361502705,0.002342195547276328,4.0
wr_draft_rank,0.016234053,11.0,0.0009389671361502483,0.0007666634562701764,5.0
modern_era,0.00377114,28.0,0.0006259780907668322,0.0007666634562701764,6.0
yards_per_route_run,0.0027028108,29.0,0.0,0.0,23.0
target_rate,0.0014939484,34.0,0.0,0.0,23.0
td_per_reception,0.013839036,13.0,0.0,0.0,23.0
rec_yards,0.018130021,10.0,0.0,0.0,23.0
rec_td,0.002095403,31.0,0.0,0.0,23.0
yards_per_reception,0.0,41.0,0.0,0.0,23.0
catch_rate,0.0014668051,35.0,0.0,0.0,23.0
targets,0.009720678,18.0,0.0,0.0,23.0
opportunity_x_efficiency,0.0,41.0,0.0,0.0,23.0
efficiency_score,0.0073639993,22.0,0.0,0.0,23.0
catch_rate_65_plus,0.0,41.0,0.0,0.0,23.0
yac_per_reception,0.054345854,4.0,0.0,0.0,23.0
yards_per_target,0.0,41.0,0.0,0.0,23.0
top_3_wr,0.003886788,27.0,0.0,0.0,23.0
draft_capital_score,0.0024043384,30.0,0.0,0.0,23.0
first_round,0.0078391265,21.0,0.0,0.0,23.0
old_rookie,0.0,41.0,0.0,0.0,23.0
top_5_wr,0.0019445634,32.0,0.0,0.0,23.0
day_1_pick,0.0067956587,25.0,0.0,0.0,23.0
young_rookie,0.012840961,15.0,0.0,0.0,23.0
yards_500_plus,0.0,41.0,0.0,0.0,23.0
high_target_rookie,0.0,41.0,0.0,0.0,23.0
td_3_plus,0.0,41.0,0.0,0.0,23.0
targets_80_plus,0.022860859,8.0,0.0,0.0,23.0
rec_yards_sqrt,0.0,41.0,0.0,0.0,23.0
targets_log,0.0015661276,33.0,0.0,0.0,23.0
breakout_score,0.0068720616,24.0,0.0,0.0,23.0
ypr_12_plus,0.007053035,23.0,0.0,0.0,23.0
draft_x_yards,0.0,41.0,0.0,0.0,23.0
early_round_x_targets,0.035313558,6.0,0.0,0.0,23.0
volume_x_efficiency,0.0054314607,26.0,0.0,0.0,23.0
modern_era_x_yards,0.020151995,9.0,0.0,0.0,23.0
rec_yards_log,0.0,41.0,0.0,0.0,23.0
draft_pick,0.024443083,7.0,-0.0003129890453833939,0.0006259780907667878,40.0
draft_round,0.01354935,14.0,-0.0006259780907667655,0.0012519561815336146,41.0
rec_yards_zscore,0.009296864,20.0,-0.0006259780907667878,0.0015959372499507686,42.0
age,0.011950423,16.0,-0.0009389671361501595,0.0012519561815336202,43.0
early_round,0.05194299,5.0,-0.0012519561815335755,0.0006259780907667878,44.0
rec_50_plus,0.38565922,1.0,-0.00250391236306724,0.0015959372499507816,45.0
rookie_production_score,0.06403466,3.0,-0.003755868544600882,0.0015959372499508163,46.0
